utc_timestamp,DE_load_actual,DE_solar_actual,DE_wind_onshore_actual,DE_wind_offshore_actual,DE_load_forecast,DE_solar_forecast,DE_wind_onshore_forecast,DE_wind_offshore_forecast,solar_error,wind_onshore_error,wind_offshore_error,load_error
2019-01-01 00:00:00+01:00,43273.5025,0.1225,20314.46,3133.9849999999997,43213.1375,0.0,18879.79,5068.9,-0.1225,-1434.6699999999983,1934.915,-60.36500000000524
2019-01-01 01:00:00+01:00,41631.5,0.135,22297.4125,2868.215,41275.4975,0.0,20626.5625,5042.4425,-0.135,-1670.8499999999985,2174.2275,-356.0025000000023
2019-01-01 02:00:00+01:00,40084.71,0.1225,23168.345,2460.4,40187.705,0.0,22355.685,5028.4175,-0.1225,-812.6599999999999,2568.0174999999995,102.99500000000262
2019-01-01 03:00:00+01:00,39269.81,0.125,24471.7975,2696.625,39909.134999999995,0.0,24032.4775,4977.65,-0.125,-439.3199999999997,2281.0249999999996,639.3249999999971
2019-01-01 04:00:00+01:00,39032.7525,0.13,26320.309999999998,2577.7400000000002,40257.925,0.0,25452.1675,4907.4,-0.13,-868.1424999999981,2329.6599999999994,1225.1725000000006
2019-01-01 05:00:00+01:00,38570.525,0.1275,27897.989999999998,2377.3175,40548.955,0.0,26526.37,4882.84,-0.1275,-1371.619999999999,2505.5225,1978.4300000000003
2019-01-01 06:00:00+01:00,38047.56,0.1225,29688.9625,1930.025,40440.2525,0.0,28058.845,4876.2775,-0.1225,-1630.1175000000003,2946.2525,2392.6925000000047
2019-01-01 07:00:00+01:00,38756.2025,0.16749999999999998,30380.895,2045.0375,42743.2525,0.0,28845.0575,4893.255,-0.16749999999999998,-1535.8375000000015,2848.2175,3987.050000000003
2019-01-01 08:00:00+01:00,39575.2325,83.92500000000001,30959.1025,2203.535,45861.005,79.29249999999999,29266.725,4907.797500000001,-4.632500000000022,-1692.3775000000023,2704.2625000000007,6285.772499999999
2019-01-01 09:00:00+01:00,42118.935,577.9775,30885.885000000002,2075.6800000000003,48792.245,655.275,29853.947500000002,4922.595,77.29750000000001,-1031.9375,2846.915,6673.310000000005
2019-01-01 10:00:00+01:00,44866.677500000005,1335.295,31688.1825,2158.76,50845.7525,1460.6599999999999,30461.74,4923.3375,125.36499999999978,-1226.4424999999974,2764.5774999999994,5979.074999999997
2019-01-01 11:00:00+01:00,47785.0925,1992.1599999999999,33018.787500000006,2723.605,53114.192500000005,2027.44,31070.6425,4886.8375,35.2800000000002,-1948.145000000004,2163.2324999999996,5329.100000000006
2019-01-01 12:00:00+01:00,49116.8675,2175.16,33573.8675,2521.32,52910.705,2212.4375,31634.2675,4581.2875,37.277500000000146,-1939.5999999999985,2059.9675,3793.8375000000015
2019-01-01 13:00:00+01:00,48786.0375,1925.79,34294.2975,2286.6175,50752.535,1915.8575,32343.8575,4416.9575,-9.93249999999989,-1950.4400000000023,2130.3400000000006,1966.497500000005
2019-01-01 14:00:00+01:00,48528.4825,1206.565,34762.535,2247.425,49310.759999999995,1183.9850000000001,33018.3825,4386.9425,-22.579999999999927,-1744.1525000000038,2139.5175,782.2774999999965
2019-01-01 15:00:00+01:00,48982.9475,397.275,34709.945,2124.18,49233.5425,367.2525,33692.6175,4388.6900000000005,-30.02249999999998,-1017.3274999999994,2264.5100000000007,250.59500000000116
2019-01-01 16:00:00+01:00,50726.635,18.5825,35735.925,2219.4325,50871.81,19.4575,34378.2275,4334.6125,0.875,-1357.697500000002,2115.1800000000003,145.17499999999563
2019-01-01 17:00:00+01:00,53893.43,0.1825,36255.7825,2270.015,53857.5675,0.0,35065.95,4224.7175,-0.1825,-1189.832500000004,1954.7024999999999,-35.86250000000291
2019-01-01 18:00:00+01:00,54658.1775,0.135,36397.3725,2209.3325,54770.2775,0.0,35777.5025,4086.325,-0.135,-619.8699999999953,1876.9924999999998,112.09999999999854
2019-01-01 19:00:00+01:00,53663.6025,0.12,36071.104999999996,2176.005,53436.015,0.0,36267.802500000005,4010.43,-0.12,196.6975000000093,1834.4249999999997,-227.58750000000146
2019-01-01 20:00:00+01:00,51355.759999999995,0.11,36015.9775,2145.4275,50873.68,0.0,36429.7625,3924.77,-0.11,413.7849999999962,1779.3425000000002,-482.07999999999447
