utc_timestamp,hour,horizon_hours,objective_value,load_forecast_mw,solar_forecast_mw,wind_onshore_forecast_mw,wind_offshore_forecast_mw,forecast_net_load_mw,battery_charge_mw,battery_discharge_mw,battery_power_mw,soc_before_mwh,soc_after_mwh,net_load_after_battery_mw
2025-01-01 00:00:00+01:00,0,24,0.08298339415976044,44518.2425,0.0,38472.2225,3759.6575,2286.362499999997,0.15539568299710807,1.0577909647907737,0.9023952817936657,50.0,49.034161624132544,2285.460104718203
2025-01-01 01:00:00+01:00,1,24,0.08116637922629585,42269.35,0.0,38931.1575,3795.07,-456.8775000000028,0.7897780446836624,0.7588153556086946,-0.030962689074967797,49.034161624132544,48.9856975992827,-456.84653731092783
2025-01-01 02:00:00+01:00,2,24,0.08110400074298213,41095.9975,0.0,39388.89,3826.19,-2119.082500000002,1.1119351423679154,0.6143586020727171,-0.49757654029519827,48.9856975992827,49.395342569637286,-2118.5849234597067
2025-01-01 03:00:00+01:00,3,24,0.0799851953737107,40805.1225,0.0,39347.5,3336.8875,-1879.2650000000021,0.9178791654730284,0.6593049840842868,-0.25857418138874155,49.395342569637286,49.57332151484707,-1879.0064258186135
2025-01-01 04:00:00+01:00,4,24,0.08388645976365819,40678.0,0.0,39681.4475,3213.5924999999997,-2217.040000000002,1.15718934728693,0.8383300976417907,-0.31885924964513923,49.57332151484707,49.79019834485749,-2216.7211407503564
2025-01-01 05:00:00+01:00,5,24,0.10439599244223463,41202.9925,0.0,40194.6275,3071.085,-2062.720000000002,0.9219961718468291,0.7156863479309935,-0.20630982391583563,49.79019834485749,49.912739805116004,-2062.513690176086
2025-01-01 06:00:00+01:00,6,24,0.17389449533611748,41366.185,0.0,41490.6625,2973.13,-3097.607500000001,1.135371882965375,0.5072559203100101,-0.6281159626553648,49.912739805116004,50.45738916560437,-3096.9793840373454
2025-01-01 07:00:00+01:00,7,24,0.3494536743139012,43030.0775,0.0,41523.24,2878.1825,-1371.3449999999984,0.8619733740403741,0.8315620770454625,-0.03041129699491163,50.45738916560437,50.40093523958426,-1371.3145887030034
2025-01-01 08:00:00+01:00,8,24,0.6471323060670957,45648.8,823.61,41637.59,2724.3725,463.2275000000059,0.7925959197038451,1.4044090417938693,0.6118131220900241,50.40093523958426,49.67557600865839,462.61568687791583
2025-01-01 09:00:00+01:00,9,24,1.0474861567694258,49919.17,4729.365,41961.8575,2578.91,649.0375000000022,0.8880079445683798,1.628210447419873,0.7402025028514932,49.67557600865839,48.8052777977086,648.2972974971507
2025-01-01 10:00:00+01:00,10,24,1.5047612614182464,51942.36,9129.9475,42128.9175,2525.84,-1842.3450000000048,1.358033331222419,1.3195973357833752,-0.03843599543904386,48.8052777977086,48.70635956480052,-1842.3065640045659
2025-01-01 11:00:00+01:00,11,24,1.9872921053336667,53425.6675,12410.745,42324.3925,2503.4525,-3812.922500000001,2.0967618025128267,1.505840246669103,-0.5909215558437237,48.70635956480052,49.11318818472913,-3812.3315784441575
2025-01-01 12:00:00+01:00,12,24,2.4831354501384153,53141.405,13401.86,42716.244999999995,2577.4849999999997,-5554.184999999997,2.470051164031839,1.3292346653566038,-1.1408164986752352,49.11318818472913,50.06054230503139,-5553.044183501322
2025-01-01 13:00:00+01:00,13,24,2.9798688351818607,52026.825,11599.3575,43604.2475,2786.8824999999997,-5963.6624999999985,2.5804213743239015,1.218687841936586,-1.3617335323873154,50.06054230503139,51.229113282209155,-5962.3007664676115
2025-01-01 14:00:00+01:00,14,24,3.485995610603755,50861.135,7771.0625,44152.6925,3262.6925,-4325.312499999995,2.4020486046904383,1.3942394792047224,-1.007809125485716,51.229113282209155,52.04343894771971,-4324.30469087451
2025-01-01 15:00:00+01:00,15,24,4.020230333467258,50273.1725,3226.4825,44829.3225,3859.1875,-1641.8199999999997,1.8677968830325127,1.4510648159720956,-0.4167320670604171,52.04343894771971,52.29040933510766,-1641.4032679329393
2025-01-01 16:00:00+01:00,16,24,4.6076227017685145,50986.3775,244.225,45197.7225,3829.5325,1714.8975000000005,1.2229112271406466,1.61549472470628,0.3925834975656335,52.29040933510766,51.75165423450384,1714.5049165024348
2025-01-01 17:00:00+01:00,17,24,5.244986309755901,52979.15,0.0,45703.585,4330.13,2945.435000000002,6.943435170408705,14.226496810659931,7.283061640251226,51.75165423450384,43.3726578377042,2938.151938359751
2025-01-01 18:00:00+01:00,18,24,5.873065206498555,54244.7825,0.0,45961.0675,4193.625,4090.090000000004,2.30007739486487,0.0,-2.30007739486487,43.3726578377042,45.557785824436685,4092.3900773948685
2025-01-01 19:00:00+01:00,19,24,6.476474918070707,53392.5475,0.0,45525.33,4050.8725,3816.344999999999,1.4773851900212818,0.0,-1.4773851900212818,45.557785824436685,46.96133260609197,3817.82238519002
2025-01-01 20:00:00+01:00,20,24,7.035752855567469,50977.335,0.0,44638.557499999995,3925.4175,2413.3600000000038,7.557145691974293,15.788855424196566,8.231709732222273,46.96133260609197,37.520773191443766,2405.1282902677813
2025-01-01 21:00:00+01:00,21,24,7.465285248882969,49187.427500000005,0.0,43064.4425,3945.4325,2177.552500000008,5.21633207492333,3.869796336562178e-07,-5.216331687943697,37.520773191443766,42.47628829278424,2182.7688316879517
2025-01-01 22:00:00+01:00,22,24,7.816450049890568,49284.215,0.0,40406.1475,4054.8125,4823.254999999997,2.557555932289012,4.1903128068976815e-07,-2.5575555132577312,42.47628829278424,44.90596598794357,4825.812555513255
2025-01-01 23:00:00+01:00,23,24,8.111091607489982,47133.1725,0.0,38565.075,4214.1125,4353.985000000003,7.8615717730271,16.92346185475986,9.061890081732761,44.90596598794357,34.56028879221978,4344.923109918271
2025-01-02 00:00:00+01:00,0,24,8.321972402534165,45004.17,0.0,39815.0975,4959.3525,229.7199999999948,7.127586452491044,1.1648299021457912e-06,-7.127585287661142,34.56028879221978,41.33149475539227,236.84758528765593
2025-01-02 01:00:00+01:00,1,24,8.528525313374843,43241.5575,0.0,37999.0275,5066.72,175.81000000000586,5.3122487785874295,0.0,-5.3122487785874295,41.33149475539227,46.37813138798518,181.12224877859327
2025-01-02 02:00:00+01:00,2,24,8.702030914967134,42511.505000000005,0.0,36171.5,5197.4275,1142.5775000000049,4.1843837510982445,4.488815159582007e-06,-4.184379262283085,46.37813138798518,50.353291242124925,1146.761879262288
2025-01-02 03:00:00+01:00,3,24,8.849132025352521,42949.7325,0.0,33834.057499999995,5289.95,3825.725000000003,3.216620591368437,0.0,-3.216620591368437,50.353291242124925,53.40908415551047,3828.9416205913717
2025-01-02 04:00:00+01:00,4,24,8.982009493852651,44721.994999999995,0.0,31363.2375,5402.9400000000005,7955.817499999996,2.3222650855169658,1.71258825942323e-08,-2.3222650683910833,53.40908415551047,55.61523596940765,7958.139765068387
2025-01-02 05:00:00+01:00,5,24,9.097640696840186,48531.8425,0.0,28809.075,5507.375,14215.392499999998,1.0669256038529493,0.0,-1.0669256038529493,55.61523596940765,56.62884664492173,14216.45942560385
2025-01-02 06:00:00+01:00,6,24,9.17988511947954,54615.085,0.0,26475.26,5572.08,22567.745000000003,0.00010323871607725565,0.0,-0.00010323871607725565,56.62884664492173,56.62905941990657,22567.745103238718
2025-01-02 07:00:00+01:00,7,24,9.195796333396954,58605.5,0.0,23855.5925,5609.58,29140.3275,0.0,0.9091801731429668,0.9091801731429668,56.62905941990657,55.6720262815041,29139.418319826855
2025-01-02 08:00:00+01:00,8,24,9.144123166697257,61204.2625,282.7825,21546.1575,5616.005,33759.3175,5.417722258546328,13.309395209586281,7.891672951039953,55.6720262815041,46.80897272441991,33751.42582704896
2025-01-02 09:00:00+01:00,9,24,8.990473168046627,62968.0525,2139.02,19285.49,5462.3625,36081.17999999999,7.54746701097882,15.860908487423103,8.313441476444282,46.80897272441991,37.28337323315304,36072.86655852355
