variable,hour,mean_error,std_error,p50,p90,p95,p99
solar,16,-13.271606941311598,1030.3071904862902,43.2932612727273,1147.784979527274,1634.4204088000006,2659.6632767418223
solar,17,-57.35309769746984,762.9199853778181,-5.108305636363636,745.0737403636361,1166.0340799636365,1905.5777435854566
solar,18,-60.61698116592015,463.04198143380177,-4.032159090909091,379.9011568727276,639.9788159090908,1130.3700268181826
solar,19,-24.79992892124615,209.90164079548347,-3.902008727272727,148.39777272727275,279.74585,546.7456786363645
solar,20,9.754979732636492,69.94436010723093,-2.7676136363636363,72.58359090909094,121.8768931818182,237.8847559090911
solar,21,1.2222322443242215,21.444424891397265,-2.4313625454545456,17.866405927272737,30.562790909090918,48.738888636363704
solar,22,-2.7886805281328892,10.92293891075923,-2.2923376363636363,-1.373256909090909,-1.1709411454545455,-0.8212289999999989
solar,23,-2.2900466643117157,10.54425491568821,-1.9341121363636362,-1.3080227272727272,-1.2279232000000002,-1.067784090909091
wind_offshore,0,-40.396303584666704,512.6969663385497,-34.69659090909093,526.3542227272728,800.9983227272728,1498.0181340909105
wind_offshore,1,-56.30379515721945,522.2169273302317,-38.02390909090912,516.226831818182,789.2454454545456,1530.9383768181833
wind_offshore,2,-36.300802459061266,535.7895159579016,-31.204454545454574,545.7350090909092,843.610138636364,1642.5484827272742
wind_offshore,3,-31.80547617883464,537.6802082816138,-27.038613636363618,543.4579545454546,883.4215818181821,1602.792570454547
wind_offshore,4,-28.808826507680887,537.7130405071193,-30.47375000000002,566.8104727272729,862.5766363636365,1617.7041545454558
wind_offshore,5,-26.951289158603217,541.0321491629712,-21.19506818181814,574.9009318181819,877.6350000000002,1550.8394977272742
wind_offshore,6,-25.79248583469641,550.3377798408023,-18.21881818181818,573.1905681818184,923.8019045454547,1557.6063295454567
wind_offshore,7,-17.569079676669237,557.072962110205,-9.112954545454604,583.0835681818185,929.1352227272728,1585.0340254545472
wind_offshore,8,-9.893056788667577,566.7213594689366,-8.755795454545437,607.6296227272729,948.7407636363638,1641.289765909093
wind_offshore,9,6.074581911510532,583.5697591961123,-1.0142045454545248,676.3413863636365,973.6343977272726,1737.698131818184
wind_offshore,10,22.182122633439246,606.6529623179595,6.114090909090715,698.3132181818186,1061.9428181818182,1891.2559609090931
wind_offshore,11,36.0205657199601,610.8738350413746,15.431477272727257,728.9124136363638,1081.9714204545455,1965.355088636367
wind_offshore,12,37.540472275018935,613.0671310829916,13.065340909090933,754.2699545454547,1114.9845681818183,1888.654404545456
wind_offshore,13,35.763331198904396,615.155658540005,19.911704545454576,777.2106454545457,1102.7083022727272,1815.2507500000027
wind_offshore,14,32.45352558841151,614.8273367226191,18.311590909090906,752.6818590909094,1123.5782954545457,1765.1834545454562
wind_offshore,15,6.7514770019018435,608.984755391274,6.282386363636236,735.509904545455,1071.126306818182,1749.1881354545476
wind_offshore,16,-22.972546867925477,604.7847355276047,-13.08704545454546,667.6284090909093,996.3812045454546,1695.5422227272747
wind_offshore,17,-57.76760610624685,606.7336405103565,-40.929840909090814,642.6553772727274,939.0504113636365,1595.9477327272748
wind_offshore,18,-71.55174432508879,618.3068872684255,-48.96034090909086,637.9078636363637,931.6933022727276,1596.0820413636384
