year,variable,hour,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,solar,11,365,190.30281506849315,1565.0595056099755,1170.3273082191781,1574.4572721268103,-5662.8724999999995,5086.1,146.41250000000036,1033.5474999999997,2076.1830000000004,2888.6620000000003,4385.871500000002
2015,solar,12,365,344.6018150684932,1726.264600402089,1321.0597602739726,1758.0032783916834,-5863.242499999999,6080.027500000002,192.35249999999996,1348.6674999999996,2578.6885000000007,3195.6805000000004,4778.93
2015,solar,13,365,421.74474657534233,1700.107865894846,1311.8452534246576,1749.3760527434274,-5529.187500000001,6465.922500000001,279.3399999999997,1399.1049999999996,2538.1210000000033,3356.1589999999997,5184.6047000000035
2015,solar,14,365,386.33380136986307,1487.1725608492713,1141.631006849315,1534.5607281778289,-4899.875,6002.2425,294.3149999999987,1199.5700000000015,2273.5749999999994,2800.024,4726.631100000002
2015,solar,15,365,285.2497671232877,1205.6179315623237,882.8207671232875,1237.2953547056436,-3804.175,5035.860000000001,182.7075,823.0625000000036,1707.2770000000012,2330.941500000001,3917.9219000000066
2015,solar,16,365,164.0762328767123,912.4126659314767,609.563,925.8169742430972,-2634.8449999999993,4008.5725,64.8125,560.8274999999999,1122.569500000001,1770.6765000000023,3016.669300000003
2015,solar,17,365,73.03875342465753,651.5358756225181,392.7973835616438,654.7294447126483,-2116.7425000000003,2845.4100000000008,-0.1225,309.22999999999956,821.2405000000008,1165.7944999999995,1959.3774000000024
2015,solar,18,365,54.21539726027398,390.1589594123112,217.44001369863008,393.3780253365781,-1308.955,1762.4824999999996,-0.1275,122.77999999999996,479.4439999999998,727.2524999999999,1406.3461000000018
2015,solar,19,365,72.05721917808219,203.58425385456636,106.06061643835616,215.69710027200975,-530.2899999999998,1651.455,-0.12,108.02750000000016,279.83050000000003,434.75949999999995,787.8565000000008
2015,solar,20,365,37.846999999999994,110.1570707545918,41.750287671232876,116.33456159252357,-140.0575,1677.1125000000002,-0.115,50.21749999999997,116.42050000000006,179.69750000000016,309.7605000000005
2015,solar,21,365,9.40669178082192,90.64503313760807,9.681184931506847,91.00822415315153,-0.4175,1721.105,-0.1525,1.12,20.124000000000024,37.08450000000001,57.976300000000066
2015,solar,22,365,4.535506849315069,90.00462640114205,4.885643835616437,89.99560841283251,-0.54,1719.36,-0.1625,-0.13,-0.1075,-0.1,-0.08499999999999996
2015,solar,23,364,4.556092032967032,90.3389262560699,4.913015109890111,90.3297232807906,-0.3925,1723.3775,-0.165,-0.13187500000000002,-0.105,-0.0925,-0.07657499999999999
2015,wind_onshore,0,365,-328.27995890410955,1330.6790191235875,986.3956027397261,1368.803540414987,-6646.16,5079.959999999999,-300.71999999999935,298.2375000000002,1059.7434999999998,1821.8220000000003,3699.705300000008
2015,wind_onshore,1,365,-241.75554109589035,1277.8635759622446,927.4802671232876,1298.8099418420265,-5173.0374999999985,5155.880000000001,-178.57999999999993,405.05500000000006,1089.9290000000017,1694.266,3529.1872000000058
2015,wind_onshore,2,365,-165.09758219178084,1225.6631572377826,876.0124041095889,1235.0674608099446,-3963.3275,5527.060000000001,-191.645,380.0224999999996,1104.5234999999998,1604.6455000000024,3699.2413000000042
2015,wind_onshore,3,365,-159.64282876712332,1209.5772206438112,858.0619931506851,1218.422937733776,-4184.6325,5381.157500000001,-170.35000000000036,358.7325000000001,1087.9515000000006,1610.293000000002,3543.888300000003
2015,wind_onshore,4,365,-179.8315547945205,1187.5587457967438,861.5760753424657,1199.487948575485,-4231.91,5177.377500000002,-176.20000000000005,356.96249999999964,1110.3869999999981,1613.0630000000021,3427.5648000000037
2015,wind_onshore,5,365,-228.63066438356174,1195.64347804652,875.2840479452054,1215.6967942040328,-4367.27,5098.669999999998,-221.27250000000095,362.105,973.8055000000004,1431.9634999999985,3099.3628000000035
2015,wind_onshore,6,365,-351.1753356164384,1189.5282977917027,907.3451986301371,1238.719111305067,-4798.4475,4579.419999999998,-310.32249999999976,270.3600000000006,877.9810000000023,1485.0339999999999,3170.526700000004
2015,wind_onshore,7,365,-255.44449999999998,1234.829214150683,907.6354589041096,1259.3162977263069,-5375.4974999999995,4378.07,-240.57500000000073,352.0,1150.6360000000016,1585.8400000000004,3918.8880000000026
2015,wind_onshore,8,365,-76.26079452054792,1270.733336738263,910.8714520547948,1271.2808159788524,-5834.917500000001,4741.952499999999,-2.212499999999636,601.6075000000001,1302.1790000000012,1920.4185000000016,3522.213000000008
2015,wind_onshore,9,365,89.06730821917802,1266.7461198324797,896.0310890410958,1268.1413280179136,-5666.704999999998,5367.494999999999,134.27750000000003,690.2325000000001,1424.3385000000007,2067.695500000001,3206.982
2015,wind_onshore,10,365,120.23856849315071,1256.8176834584926,888.7626780821917,1260.8411307863978,-5313.564999999999,4887.345000000001,158.03499999999997,697.2025000000001,1499.7165000000007,2138.6634999999997,3625.310300000002
2015,wind_onshore,11,365,22.138609589040982,1311.7130880499385,955.3686369863013,1310.102055121435,-4368.467500000001,4344.6449999999995,87.28749999999991,698.6099999999999,1608.2375000000013,2056.2385,3806.495400000002
2015,wind_onshore,12,365,-68.90062328767118,1365.462980147403,998.8531712328768,1365.3308231304172,-5392.657499999999,4839.4025,33.37250000000131,642.6475000000028,1470.5785000000008,2167.3070000000007,3680.440800000002
2015,wind_onshore,13,365,-87.93997945205484,1352.6798470321216,985.9065958904109,1353.6850500269209,-4581.182500000001,4784.47,21.804999999998472,550.2025000000001,1413.8065000000017,2132.4765000000007,3726.332200000004
2015,wind_onshore,14,365,-54.72331506849319,1337.1986457636142,977.7707123287673,1336.486421456142,-4431.655000000001,4880.0300000000025,78.30500000000029,589.664999999999,1445.4095000000002,2162.438,3811.0080000000016
2015,wind_onshore,15,365,-55.76101369863014,1342.1589818280534,973.8678630136986,1341.4785522232805,-4051.365,4686.425000000003,51.01999999999998,634.4700000000012,1363.2740000000026,2284.7060000000015,3655.703600000003
2015,wind_onshore,16,365,-102.54532876712322,1362.0057827121516,996.1454657534246,1363.99887870481,-4313.9749999999985,5118.605,12.5649999999996,553.4699999999993,1444.1075000000028,2093.406,3592.6068000000014
2015,wind_onshore,17,365,-213.44866438356163,1405.271035271203,1047.717897260274,1419.484639024503,-4897.4,4874.674999999999,-92.18250000000012,572.4275000000002,1277.7545000000007,2054.630000000002,3205.861900000006
