utc_timestamp,hour,horizon_hours,objective_value,load_forecast_mw,solar_forecast_mw,wind_onshore_forecast_mw,wind_offshore_forecast_mw,forecast_net_load_mw,battery_charge_mw,battery_discharge_mw,battery_power_mw,soc_before_mwh,soc_after_mwh,net_load_after_battery_mw
2025-01-01 00:00:00+01:00,0,24,0.08299711681472166,44518.2425,0.0,38472.2225,3759.6575,2286.362499999997,0.02328772484568332,0.11277433992914049,0.08948661508345716,50.0,49.903413004272835,2286.2730133849136
2025-01-01 01:00:00+01:00,1,24,0.0811788068177112,42269.35,0.0,38931.1575,3795.07,-456.8775000000028,0.04950039145024346,0.04808190502981389,-0.0014184864204295697,49.903413004272835,49.89982549654501,-456.87608151358233
2025-01-01 02:00:00+01:00,2,24,0.0811165326658312,41095.9975,0.0,39388.89,3826.19,-2119.082500000002,0.2680398163246058,0.2078346554729776,-0.060205160851628164,49.89982549654501,49.93568869716879,-2119.02229483915
2025-01-01 03:00:00+01:00,3,24,0.07999750699937463,40805.1225,0.0,39347.5,3336.8875,-1879.2650000000021,0.34297881927134266,0.29854324884191674,-0.04443557042942592,49.93568869716879,49.94726077084772,-1879.2205644295727
2025-01-01 04:00:00+01:00,4,24,0.08389945703175536,40678.0,0.0,39681.4475,3213.5924999999997,-2217.040000000002,0.2692597641871874,0.22298331757990186,-0.046276446607285526,49.94726077084772,49.968337560612376,-2216.9937235533944
2025-01-01 05:00:00+01:00,5,24,0.10441396787989632,41202.9925,0.0,40194.6275,3071.085,-2062.720000000002,0.1577249216889635,0.12853050599348642,-0.029194415695477066,49.968337560612376,49.982880472771456,-2062.6908055843064
2025-01-01 06:00:00+01:00,6,24,0.17392893466379075,41366.185,0.0,41490.6625,2973.13,-3097.607500000001,0.17330974647457228,0.10320488322538318,-0.0701048632491891,49.982880472771456,50.03888775239765,-3097.537395136752
2025-01-01 07:00:00+01:00,7,24,0.3495269157487236,43030.0775,0.0,41523.24,2878.1825,-1371.3449999999984,0.1375301033750483,0.12829594453994794,-0.00923415883510037,50.03888775239765,50.03449282283792,-1371.3357658411633
2025-01-01 08:00:00+01:00,8,24,0.6472624942169511,45648.8,823.61,41637.59,2724.3725,463.2275000000059,0.14431770488045542,0.1984965303206366,0.05417882544018118,50.03449282283792,49.962650780637766,463.1733211745657
2025-01-01 09:00:00+01:00,9,24,1.0476791384866904,49919.17,4729.365,41961.8575,2578.91,649.0375000000022,0.09771436361769678,0.18392754903356276,0.08621318541586598,49.962650780637766,49.8618714797252,648.9512868145863
2025-01-01 10:00:00+01:00,10,24,1.505008520447332,51942.36,9129.9475,42128.9175,2525.84,-1842.3450000000048,0.1504355414832041,0.15339475059140767,0.0029592091082035754,49.8618714797252,49.843317085618715,-1842.347959209113
2025-01-01 11:00:00+01:00,11,24,1.9875794893963161,53425.6675,12410.745,42324.3925,2503.4525,-3812.922500000001,0.19242949607395163,0.13834168811796244,-0.05408780795598919,49.843317085618715,49.880502277292855,-3812.868412192045
2025-01-01 12:00:00+01:00,12,24,2.4834510589559025,53141.405,13401.86,42716.244999999995,2577.4849999999997,-5554.184999999997,0.4726602331646052,0.33085472679250594,-0.14180550637209927,49.880502277292855,49.98126124387823,-5554.0431944936245
2025-01-01 13:00:00+01:00,13,24,2.9802008625540255,52026.825,11599.3575,43604.2475,2786.8824999999997,-5963.6624999999985,0.4527810400135062,0.2932077809129483,-0.15957325910055792,49.98126124387823,50.10276325451262,-5963.502926740898
2025-01-01 14:00:00+01:00,14,24,3.4863384817799172,50861.135,7771.0625,44152.6925,3262.6925,-4325.312499999995,0.40900325115543773,0.28755644711097195,-0.12144680404446578,50.10276325451262,50.18862507043077,-4325.191053195951
2025-01-01 15:00:00+01:00,15,24,4.020586305312075,50273.1725,3226.4825,44829.3225,3859.1875,-1641.8199999999997,0.4908760434958115,0.42115952815238883,-0.06971651534342266,50.18862507043077,50.21163140064223,-1641.7502834846564
2025-01-01 16:00:00+01:00,16,24,4.6079989731842605,50986.3775,244.225,45197.7225,3829.5325,1714.8975000000005,0.5468992287851325,0.5505763221097858,0.003677093324653269,50.21163140064223,50.151631570968895,1714.893822906676
