utc_timestamp,hour,horizon_hours,chosen_power_request_mw,load_forecast_mw,solar_forecast_mw,wind_onshore_forecast_mw,wind_offshore_forecast_mw,forecast_net_load_mw,corrected_net_load_mw,reserve_margin_mw,risk_adjusted_net_load_mw,battery_charge_mw,battery_discharge_mw,battery_power_mw,soc_before_mwh,soc_after_mwh,net_load_after_battery_mw
2025-01-01 00:00:00+01:00,0,24,12.526287449621107,44518.2425,0.0,38472.2225,3759.6575,2286.362499999997,1257.3369576501427,3617.7322642363424,4875.069221886485,0.0,12.526287449621107,12.526287449621107,50.0,36.81443426355673,1244.8106702005216
2025-01-01 01:00:00+01:00,1,24,0.07711666834764058,42269.35,0.0,38931.1575,3795.07,-456.8775000000028,-1480.268030024948,3641.423965533303,2161.155935508355,0.0,0.07711666834764058,0.07711666834764058,36.81443426355673,36.73325882319079,-1480.3451466932956
2025-01-01 02:00:00+01:00,2,24,-6.997663524450217,41095.9975,0.0,39388.89,3826.19,-2119.082500000002,-3191.5036099095996,3675.0677692184186,483.56415930881894,6.997663524450217,0.0,-6.997663524450217,36.73325882319079,43.38103917141849,-3184.5059463851494
2025-01-01 03:00:00+01:00,3,24,-5.629215179141682,40805.1225,0.0,39347.5,3336.8875,-1879.2650000000021,-2946.2490587249536,3674.7829013668843,728.5338426419307,5.629215179141682,0.0,-5.629215179141682,43.38103917141849,48.72879359160309,-2940.619843545812
2025-01-01 04:00:00+01:00,4,24,-6.999785705412838,40678.0,0.0,39681.4475,3213.5924999999997,-2217.040000000002,-3263.2838480648866,3669.2102524367965,405.92640437190994,6.999785705412838,0.0,-6.999785705412838,48.72879359160309,55.37859001174529,-3256.284062359474
2025-01-01 05:00:00+01:00,5,24,-6.703574193426885,41202.9925,0.0,40194.6275,3071.085,-2062.720000000002,-3168.107024547269,3724.14217415529,556.0351496080211,6.703574193426885,0.0,-6.703574193426885,55.37859001174529,61.74698549550083,-3161.403450353842
2025-01-01 06:00:00+01:00,6,24,-10.910383514052754,41366.185,0.0,41490.6625,2973.13,-3097.607500000001,-4314.475556181695,4092.0061232284265,-222.4694329532681,10.910383514052754,0.0,-10.910383514052754,61.74698549550083,72.11184983385094,-4303.5651726676415
2025-01-01 07:00:00+01:00,7,24,-4.292092715064102,43030.0775,0.0,41523.24,2878.1825,-1371.3449999999984,-2779.0710828122465,4494.9397012721165,1715.86861845987,4.292092715064102,0.0,-4.292092715064102,72.11184983385094,76.18933791316184,-2774.7789900971825
2025-01-01 08:00:00+01:00,8,24,1.0369642637950018,45648.8,823.61,41637.59,2724.3725,463.2275000000059,-1241.8875981243673,4851.495289905015,3609.6076917806477,0.0,1.0369642637950018,1.0369642637950018,76.18933791316184,75.0977965828513,-1242.9245623881623
2025-01-01 09:00:00+01:00,9,24,0.050160918852718006,49919.17,4729.365,41961.8575,2578.91,649.0375000000022,-1001.511747797947,5181.305190616899,4179.793442818953,0.0,0.050160918852718006,0.050160918852718006,75.0977965828513,75.04499561563792,-1001.5619087167997
2025-01-01 10:00:00+01:00,10,24,-10.88653790483213,51942.36,9129.9475,42128.9175,2525.84,-1842.3450000000048,-3240.302291304644,5632.531886463528,2392.2295951588844,10.88653790483213,0.0,-10.88653790483213,75.04499561563792,85.38720662522844,-3229.415753399812
2025-01-01 11:00:00+01:00,11,24,-18.685433323750136,53425.6675,12410.745,42324.3925,2503.4525,-3812.922500000001,-4922.171930332892,5993.134998569112,1070.9630682362204,15.381887762917428,0.0,-15.381887762917428,85.38720662522844,100.0,-4906.7900425699745
2025-01-01 12:00:00+01:00,12,24,-0.0,53141.405,13401.86,42716.244999999995,2577.4849999999997,-5554.184999999997,-6541.014971525031,6165.829830700834,-375.18514082419733,0.0,-0.0,-0.0,100.0,100.0,-6541.014971525031
2025-01-01 13:00:00+01:00,13,24,-0.0,52026.825,11599.3575,43604.2475,2786.8824999999997,-5963.6624999999985,-6992.602579099606,6229.193125923741,-763.4094531758656,0.0,-0.0,-0.0,100.0,100.0,-6992.602579099606
2025-01-01 14:00:00+01:00,14,24,-0.0,50861.135,7771.0625,44152.6925,3262.6925,-4325.312499999995,-5445.404734303385,6142.612439171921,697.207704868536,0.0,-0.0,-0.0,100.0,100.0,-5445.404734303385
2025-01-01 15:00:00+01:00,15,24,-0.0,50273.1725,3226.4825,44829.3225,3859.1875,-1641.8199999999997,-2685.3833379641633,5909.257535183251,3223.874197219088,0.0,-0.0,-0.0,100.0,100.0,-2685.3833379641633
2025-01-01 16:00:00+01:00,16,24,-0.0,50986.3775,244.225,45197.7225,3829.5325,1714.8975000000005,711.0677739574626,5640.201519080216,6351.269293037678,0.0,-0.0,-0.0,100.0,100.0,711.0677739574626
2025-01-01 17:00:00+01:00,17,24,-0.0,52979.15,0.0,45703.585,4330.13,2945.435000000002,1797.0566813189207,5360.726159441189,7157.78284076011,0.0,-0.0,-0.0,100.0,100.0,1797.0566813189207
2025-01-01 18:00:00+01:00,18,24,-0.0,54244.7825,0.0,45961.0675,4193.625,4090.090000000004,2891.5503665276583,4983.403915909441,7874.954282437099,0.0,-0.0,-0.0,100.0,100.0,2891.5503665276583
2025-01-01 19:00:00+01:00,19,24,-0.0,53392.5475,0.0,45525.33,4050.8725,3816.344999999999,2513.0725918029525,4698.1931653906595,7211.265757193612,0.0,-0.0,-0.0,100.0,100.0,2513.0725918029525
2025-01-01 20:00:00+01:00,20,24,-0.0,50977.335,0.0,44638.557499999995,3925.4175,2413.3600000000038,1090.7065978111796,4509.192804166396,5599.8994019775755,0.0,-0.0,-0.0,100.0,100.0,1090.7065978111796
2025-01-01 21:00:00+01:00,21,24,-0.0,49187.427500000005,0.0,43064.4425,3945.4325,2177.552500000008,982.2806783091883,4411.7075818158955,5393.988260125084,0.0,-0.0,-0.0,100.0,100.0,982.2806783091883
2025-01-01 22:00:00+01:00,22,24,-0.0,49284.215,0.0,40406.1475,4054.8125,4823.254999999997,3687.9152566270855,4328.27652043986,8016.191777066946,0.0,-0.0,-0.0,100.0,100.0,3687.9152566270855
2025-01-01 23:00:00+01:00,23,24,-0.0,47133.1725,0.0,38565.075,4214.1125,4353.985000000003,3329.7531265772122,4330.554890984187,7660.3080175613995,0.0,-0.0,-0.0,100.0,100.0,3329.7531265772122
2025-01-02 00:00:00+01:00,0,24,-0.0,45004.17,0.0,39815.0975,4959.3525,229.7199999999948,-799.3055423498599,3617.7322642363424,2818.4267218864825,0.0,-0.0,-0.0,100.0,100.0,-799.3055423498599
2025-01-02 01:00:00+01:00,1,24,-0.0,43241.5575,0.0,37999.0275,5066.72,175.81000000000586,-847.5805300249394,3641.423965533303,2793.8434355083637,0.0,-0.0,-0.0,100.0,100.0,-847.5805300249394
2025-01-02 02:00:00+01:00,2,24,-0.0,42511.505000000005,0.0,36171.5,5197.4275,1142.5775000000049,70.1563900904066,3675.0677692184186,3745.224159308825,0.0,-0.0,-0.0,100.0,100.0,70.1563900904066
2025-01-02 03:00:00+01:00,3,24,-0.0,42949.7325,0.0,33834.057499999995,5289.95,3825.725000000003,2758.7409412750512,3674.7829013668843,6433.5238426419355,0.0,-0.0,-0.0,100.0,100.0,2758.7409412750512
2025-01-02 04:00:00+01:00,4,24,-0.0,44721.994999999995,0.0,31363.2375,5402.9400000000005,7955.817499999996,6909.573651935111,3669.2102524367965,10578.783904371907,0.0,-0.0,-0.0,100.0,100.0,6909.573651935111
2025-01-02 05:00:00+01:00,5,24,-0.0,48531.8425,0.0,28809.075,5507.375,14215.392499999998,13110.005475452726,3724.14217415529,16834.147649608018,0.0,-0.0,-0.0,100.0,100.0,13110.005475452726
2025-01-02 06:00:00+01:00,6,24,25.0,54615.085,0.0,26475.26,5572.08,22567.745000000003,21350.876943818308,4092.0061232284265,25442.883067046736,0.0,25.0,25.0,100.0,73.68421052631578,21325.876943818308
2025-01-02 07:00:00+01:00,7,24,25.0,58605.5,0.0,23855.5925,5609.58,29140.3275,27732.601417187754,4494.9397012721165,32227.54111845987,0.0,25.0,25.0,73.68421052631578,47.36842105263157,27707.601417187754
2025-01-02 08:00:00+01:00,8,24,25.0,61204.2625,282.7825,21546.1575,5616.005,33759.3175,32054.20240187562,4851.495289905015,36905.69769178063,0.0,25.0,25.0,47.36842105263157,21.052631578947356,32029.20240187562
2025-01-02 09:00:00+01:00,9,24,25.0,62968.0525,2139.02,19285.49,5462.3625,36081.17999999999,34430.63075220204,5181.305190616899,39611.93594281894,0.0,19.999999999999986,19.999999999999986,21.052631578947356,0.0,34410.63075220204
2025-01-02 10:00:00+01:00,10,24,0.0,64171.915,4763.7300000000005,17036.49,5268.465,37103.229999999996,35705.27270869536,5632.531886463528,41337.80459515889,0.0,0.0,0.0,0.0,0.0,35705.27270869536
2025-01-02 11:00:00+01:00,11,24,0.0,64865.9825,6670.75,15229.4175,5208.1875,37757.6275,36648.3780696671,5993.134998569112,42641.513068236214,0.0,0.0,0.0,0.0,0.0,36648.3780696671
2025-01-02 12:00:00+01:00,12,24,0.0,64723.1775,7064.305,14449.5575,5203.455,38005.85999999999,37019.03002847496,6165.829830700834,43184.85985917579,0.0,0.0,0.0,0.0,0.0,37019.03002847496
2025-01-02 13:00:00+01:00,13,24,0.0,64112.5025,6085.1425,14393.465,5216.7825,38417.1125,37388.172420900395,6229.193125923741,43617.365546824134,0.0,0.0,0.0,0.0,0.0,37388.172420900395
2025-01-02 14:00:00+01:00,14,24,0.0,62484.1425,3940.2025,14004.685,5309.045,39230.21000000001,38110.11776569662,6142.612439171921,44252.73020486854,0.0,0.0,0.0,0.0,0.0,38110.11776569662
2025-01-02 15:00:00+01:00,15,24,0.0,61315.045,1388.085,13585.29,5423.5975,40918.072499999995,39874.50916203584,5909.257535183251,45783.76669721909,0.0,0.0,0.0,0.0,0.0,39874.50916203584
2025-01-02 16:00:00+01:00,16,24,0.0,61951.1375,82.8575,14047.065,5597.755,42223.46,41219.63027395747,5640.201519080216,46859.83179303768,0.0,0.0,0.0,0.0,0.0,41219.63027395747
2025-01-02 17:00:00+01:00,17,24,0.0,63847.015,0.0,15303.23,5766.97,42776.815,41628.43668131892,5360.726159441189,46989.16284076011,0.0,0.0,0.0,0.0,0.0,41628.43668131892
2025-01-02 18:00:00+01:00,18,24,0.0,64165.755000000005,0.0,16680.114999999998,5845.6375,41640.00250000001,40441.46286652766,4983.403915909441,45424.8667824371,0.0,0.0,0.0,0.0,0.0,40441.46286652766
2025-01-02 19:00:00+01:00,19,24,0.0,63156.3025,0.0,17639.572500000002,5870.055,39646.674999999996,38343.40259180295,4698.1931653906595,43041.59575719361,0.0,0.0,0.0,0.0,0.0,38343.40259180295
2025-01-02 20:00:00+01:00,20,24,0.0,59758.765,0.0,18338.3975,5895.1175,35525.25,34202.59659781118,4509.192804166396,38711.78940197757,0.0,0.0,0.0,0.0,0.0,34202.59659781118
2025-01-02 21:00:00+01:00,21,24,0.0,56271.185,0.0,18723.275,5861.1275000000005,31686.782499999994,30491.51067830917,4411.7075818158955,34903.21826012507,0.0,0.0,0.0,0.0,0.0,30491.51067830917
2025-01-02 22:00:00+01:00,22,24,0.0,53475.855,0.0,18861.6825,5843.8125,28770.36,27635.020256627104,4328.27652043986,31963.296777066964,0.0,0.0,0.0,0.0,0.0,27635.020256627104
2025-01-02 23:00:00+01:00,23,24,0.0,50560.2775,0.0,19167.8675,5846.3575,25546.052499999998,24521.82062657721,4330.554890984187,28852.3755175614,0.0,0.0,0.0,0.0,0.0,24521.82062657721
2025-01-03 00:00:00+01:00,0,24,0.0,48655.92,0.0,18768.685,5639.875,24247.359999999997,23218.33445765014,3617.7322642363424,26836.066721886484,0.0,0.0,0.0,0.0,0.0,23218.33445765014
2025-01-03 01:00:00+01:00,1,24,0.0,46963.455,0.0,19028.8975,5713.2325,22221.325000000004,21197.934469975055,3641.423965533303,24839.35843550836,0.0,0.0,0.0,0.0,0.0,21197.934469975055
2025-01-03 02:00:00+01:00,2,24,0.0,45938.2275,0.0,19644.415,5802.2,20491.6125,19419.191390090396,3675.0677692184186,23094.259159308815,0.0,0.0,0.0,0.0,0.0,19419.191390090396
2025-01-03 03:00:00+01:00,3,24,0.0,46342.415,0.0,20804.265,5719.455,19818.695,18751.710941275047,3674.7829013668843,22426.493842641932,0.0,0.0,0.0,0.0,0.0,18751.710941275047
2025-01-03 04:00:00+01:00,4,24,0.0,47877.3825,0.0,22605.8225,5462.7275,19808.8325,18762.58865193512,3669.2102524367965,22431.798904371914,0.0,0.0,0.0,0.0,0.0,18762.58865193512
