utc_timestamp,hour,horizon_hours,objective_value,load_forecast_mw,solar_forecast_mw,wind_onshore_forecast_mw,wind_offshore_forecast_mw,forecast_net_load_mw,reserve_margin_mw,risk_adjusted_net_load_mw,battery_charge_mw,battery_discharge_mw,battery_power_mw,soc_before_mwh,soc_after_mwh,net_load_after_battery_mw
2025-01-01 00:00:00+01:00,0,24,0.20449454589930494,44518.2425,0.0,38472.2225,3759.6575,2286.362499999997,3617.7322642363424,5904.094764236339,2.0998892110265788e-05,0.6741753422422205,0.6741543433501103,50.0,49.29036170673971,5903.420609892989
2025-01-01 01:00:00+01:00,1,24,0.19862299348023899,42269.35,0.0,38931.1575,3795.07,-456.8775000000028,3641.423965533303,3184.5464655333003,0.14879890186980424,0.1534698028965558,0.0046709010267515505,49.29036170673971,49.27017349953315,3184.5417946322736
2025-01-01 02:00:00+01:00,2,24,0.19992232163459878,41095.9975,0.0,39388.89,3826.19,-2119.082500000002,3675.0677692184186,1555.9852692184168,0.3729794640646377,0.0001351620693709135,-0.3728443019952668,49.27017349953315,49.62436156688915,1556.358113520412
2025-01-01 03:00:00+01:00,3,24,0.2060132790244692,40805.1225,0.0,39347.5,3336.8875,-1879.2650000000021,3674.7829013668843,1795.5179013668821,0.38948864252766485,0.17392997279895428,-0.21555866972871057,49.62436156688915,49.811291556876334,1795.733460036611
2025-01-01 04:00:00+01:00,4,24,0.22154986358680212,40678.0,0.0,39681.4475,3213.5924999999997,-2217.040000000002,3669.2102524367965,1452.1702524367947,0.4471258796121544,0.1579586844817843,-0.2891671951303701,49.811291556876334,50.06978882203704,1452.4594196319251
2025-01-01 05:00:00+01:00,5,24,0.2605208398578313,41202.9925,0.0,40194.6275,3071.085,-2062.720000000002,3724.1421741552895,1661.4221741552874,0.20690685075354862,0.0,-0.20690685075354862,50.06978882203704,50.266430958809586,1661.629081006041
2025-01-01 06:00:00+01:00,6,24,0.3539883431143572,41366.185,0.0,41490.6625,2973.13,-3097.607500000001,4092.0061232284265,994.3986232284255,0.5534633384822648,0.023662172711503695,-0.5298011657707611,50.266430958809586,50.76731356608375,994.9284243941963
2025-01-01 07:00:00+01:00,7,24,0.5619030249325121,43030.0775,0.0,41523.24,2878.1825,-1371.3449999999984,4494.9397012721165,3123.594701272118,0.0,0.01658488226408254,0.01658488226408254,50.76731356608375,50.74983597795185,3123.578116389854
2025-01-01 08:00:00+01:00,8,24,0.8904639289793228,45648.8,823.61,41637.59,2724.3725,463.2275000000059,4851.495289905015,5314.722789905021,0.0,0.5531716168279281,0.5531716168279281,50.74983597795185,50.167549687906444,5314.169618288193
2025-01-01 09:00:00+01:00,9,24,1.318924921920079,49919.17,4729.365,41961.8575,2578.91,649.0375000000022,5181.305190616899,5830.342690616902,7.716761779875335e-05,0.6458271820881364,0.6457500144703376,50.167549687906444,49.48780499517665,5829.696940602431
2025-01-01 10:00:00+01:00,10,24,1.8077659633184529,51942.36,9129.9475,42128.9175,2525.84,-1842.3450000000048,5632.531886463528,3790.1868864635235,0.616365762524268,0.7267874751328457,0.1104217126085777,49.48780499517665,49.30831302146158,3790.076464750915
