year,variable,month,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,solar,1,744,45.512698252688175,567.9383808265952,204.90455309139784,569.3784943160911,-3570.7425000000003,4766.735,-0.1775,0.039375,326.4904999999997,799.7646250000005,2081.833675000014
2015,solar,2,672,-9.80860491071429,915.090685499052,419.69635788690476,914.462166474601,-4412.095000000001,4800.610000000001,-0.225,-0.141875,613.0084999999997,1673.809124999995,2977.253899999997
2015,solar,3,743,100.57261776581429,977.4436332680956,476.844004037685,981.9496142197088,-3544.9125000000004,4761.647499999999,-0.1875,107.66375000000002,847.4184999999989,2003.4199999999998,3555.937000000003
2015,solar,4,720,4.141302083333317,832.8744524133504,419.9144409722222,832.3061694021228,-3023.3275000000012,5553.345000000001,-0.25375000000000003,48.229375000000005,645.5412500000011,1430.2768749999982,2795.9771499999974
2015,solar,5,744,277.62498991935485,1155.6082129613696,633.6033299731183,1187.7335743491883,-5863.242499999999,4729.465,-0.07625,493.43375000000015,1730.1597500000012,2588.015374999999,3928.371150000002
2015,solar,6,720,261.2792777777777,1067.026878261749,572.2866111111111,1097.8305450030455,-2454.8250000000007,6465.922500000001,-0.12125,367.4756249999998,1282.3929999999993,2361.0252499999983,4321.033824999991
2015,solar,7,744,178.10451948924728,799.3629983030249,472.6355409946237,818.4397211862737,-2451.9299999999985,3150.2175000000025,7.4487499999999995,344.27812499999925,1195.3322499999997,1847.537250000001,2567.101075000002
2015,solar,8,744,149.8711928763441,644.077700940136,363.66647513440864,660.862984225663,-3744.8825000000015,2613.869999999999,2.42,339.36125000000175,873.7270000000008,1319.269750000001,1770.3735250000036
2015,solar,9,720,179.14000694444442,737.3534068425646,363.31779166666666,758.3047300430708,-2367.075,5318.017500000002,-0.1125,209.52937499999967,928.8849999999999,1416.5299999999993,3239.824599999986
2015,solar,10,745,158.7995436241611,916.1211554658935,410.06320805369126,929.1763658932919,-4511.6275000000005,5384.025000000001,-0.1125,66.92,1027.0589999999997,1787.073499999993,3866.3104999999996
2015,solar,11,720,-59.536180555555546,562.5151570143001,223.72206250000002,565.2684157617623,-4177.2525000000005,2644.4575000000004,-0.1575,0.09499999999999992,188.80675000000008,496.46287499999994,1610.6122249999914
2015,solar,12,743,-46.48759084791384,411.3435358911381,169.88372812920593,413.6869232501022,-2563.254999999999,2364.3475000000008,-0.275,-0.18125,102.6895000000001,518.9384999999999,998.8994500000011
2015,wind_onshore,1,744,-42.84913306451606,1574.2709854435939,1188.537883064516,1573.796078361508,-5834.917500000001,4839.4025,54.42375000000021,852.8168749999998,1857.7097499999988,2519.4903750000003,3563.8438499999997
2015,wind_onshore,2,672,-406.1083035714285,1185.733369222636,965.625706845238,1252.5156164078646,-4189.25,2286.8374999999996,-266.2649999999994,412.2131250000001,995.5102500000004,1434.3988749999974,1948.4144749999996
2015,wind_onshore,3,743,-190.12249999999997,1265.6656087539525,937.8889401076715,1279.0230632243697,-5573.494999999999,4469.022499999999,-191.645,462.3062500000001,1208.0860000000005,1849.5299999999995,3576.477450000002
2015,wind_onshore,4,720,-233.67121180555563,1394.6614003602938,979.0485451388887,1413.145836881665,-7453.32,5098.669999999998,-110.33999999999969,405.45437499999997,1049.7237500000003,2059.301124999999,4065.400724999993
2015,wind_onshore,5,744,307.40903897849455,1373.077868365669,996.5187365591398,1406.1682285182858,-5351.0975,4337.695,271.2650000000001,1020.4218750000005,1842.6387500000003,2437.180375,3849.6624750000037
2015,wind_onshore,6,720,-48.773784722222224,949.0331522407963,649.8532569444444,949.627234240622,-4099.327499999999,2905.217499999999,81.23500000000013,509.40562499999965,870.9020000000002,1062.6229999999996,2013.2861749999895
2015,wind_onshore,7,744,159.67200604838715,1512.1297340363515,1085.5382224462367,1519.5256432683555,-4546.8725,5237.552500000001,132.9512500000004,906.3331250000003,1957.202250000001,2788.447000000001,4642.381175000007
2015,wind_onshore,8,744,-347.99957661290324,1198.7431732016662,856.5627688172042,1247.4604077509834,-5882.362500000001,3300.629999999999,-133.75500000000034,339.96375,835.7245000000006,1242.3463750000008,2234.1769000000063
2015,wind_onshore,9,720,-924.9955451388888,994.751715884323,1089.6177048611112,1357.856172870847,-3744.345,4464.342500000001,-866.2250000000008,-267.5675000000002,223.6392500000005,575.8567499999991,952.6928749999963
2015,wind_onshore,10,745,-344.2901577181208,1042.3949611964533,755.0828355704697,1097.1164302144975,-4442.214999999998,3746.247499999999,-167.94999999999982,260.7625000000007,717.0195000000001,1005.0074999999997,1681.6893999999984
2015,wind_onshore,11,720,262.97661111111114,1724.2189068664288,1320.2324305555558,1742.97402911739,-4232.195,5527.060000000001,194.36124999999998,1257.5512500000007,2547.5925000000007,3287.127749999999,4870.591749999997
2015,wind_onshore,12,743,-818.3242866756394,1504.0666849629017,1213.9216823687752,1711.3814668073358,-11835.695,2830.289999999999,-682.8400000000001,38.342499999999745,868.0650000000021,1215.2482499999971,2341.288800000004
2015,wind_offshore,1,720,-181.06213541666668,136.58836302266047,186.20327430555554,226.74647991688025,-486.375,108.0625,-223.615,-43.864375,1.8100000000000132,17.04287499999998,58.887149999999764
2015,wind_offshore,2,672,-277.4448995535714,204.8729955335292,281.043322172619,344.79871932568545,-619.84,133.325,-278.035,-76.37187499999999,-2.055500000000005,8.588124999999978,36.32944999999993
2015,wind_offshore,3,743,-425.66880551816956,262.0234885695515,426.77001682368774,499.7577776979813,-988.045,33.815,-482.0075000000001,-195.60250000000002,-33.3585,-1.9397500000000076,21.563800000000043
2015,wind_offshore,4,720,-410.6515972222223,328.052826162521,411.28930555555553,525.4559169880741,-1086.78,14.1175,-329.73875,-117.3875,-15.177249999999972,-0.4860000000000163,11.235799999999976
2015,wind_offshore,5,744,-596.1292305107527,405.34526824021077,597.269432123656,720.7315770710271,-1426.065,75.505,-573.37,-215.706875,-81.41924999999993,-35.054749999999984,14.181425000000006
2015,wind_offshore,6,720,-505.17046875,417.83461689011773,510.18920486111114,655.3933851792847,-1561.0675,95.0925,-434.27,-146.944375,-21.357999999999947,22.01037499999998,55.939949999999854
2015,wind_offshore,7,744,-664.7595497311828,564.6232203372674,673.7225806451613,871.9381549807532,-1893.8725,239.9525,-516.3387499999999,-150.66312499999998,-15.645499999999995,25.929000000000002,118.14305000000022
2015,wind_offshore,8,744,-100.59948588709678,452.2447017924105,301.6539952956989,463.0017573435339,-1814.13,1185.115,-38.57125,88.269375,390.7482500000001,603.3490000000002,1045.7557500000028
2015,wind_offshore,9,720,182.2661284722222,271.30181643079084,240.11149652777777,326.68545800324495,-1179.9975,1230.705,135.70124999999996,325.186875,526.5152500000002,669.0034999999996,885.8489249999993
2015,wind_offshore,10,745,113.31473154362416,309.02797701995104,258.01811409395975,328.9533908335739,-1079.8424999999995,920.62,109.9875,311.78999999999996,483.6385000000001,617.9975000000001,797.4466999999993
2015,wind_offshore,11,720,89.59737499999999,332.0385639974466,248.97102083333334,343.691974204879,-1302.8775,1391.125,70.28624999999997,261.50125,480.0195000000001,648.0994999999998,997.390549999999
2015,wind_offshore,12,743,-87.13089165545088,389.5188455628594,316.6972442799462,398.88910426352817,-1388.8275,1279.0775,-161.60249999999996,48.64874999999995,564.2900000000006,734.7237500000001,1134.782150000003
